Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E_TC_001_APITESTING,,,,29-04-2026 23:28:46,29-04-2026 23:28:59,12.935s,PASSED
,,,,,,,
Test Cases/Test Case/End to End - API Test Books,,,,29-04-2026 23:28:47,29-04-2026 23:28:59,11.715s,PASSED
"DATA BINDING - {""(Default) respo..."":""response"",""(Default) statu..."":""200"",""(Default) value..."":""200"",""(Default) locat..."":""title""}",,,,,,,
"callTestCase(findTestCase(""Blocks/Positive/Get Books""), [""response"":response, ""statusCodeSukses"":statusCodeSukses, ""locator"":locator, ""valueLocator"":valueLocator, ""valueLocatorCount"":valueLocatorCount], STOP_ON_FAILURE)",,,,29-04-2026 23:28:49,29-04-2026 23:28:56,7.329s,PASSED
"callTestCase(findTestCase(""Blocks/Positive/Post Books""), [""response"":response, ""statusCodeSukses"":statusCodeSukses, ""locator"":locator, ""valueLocator"":valueLocator], STOP_ON_FAILURE)",,,,29-04-2026 23:28:56,29-04-2026 23:28:57,0.905s,PASSED
"callTestCase(findTestCase(""Blocks/Positive/Get Single Book""), [""response"":response, ""statusCodeSukses"":statusCodeSukses, ""locator"":locator, ""valueLocator"":valueLocator], STOP_ON_FAILURE)",,,,29-04-2026 23:28:57,29-04-2026 23:28:58,0.807s,PASSED
"callTestCase(findTestCase(""Blocks/Positive/PUT Books""), [""response"":response, ""statusCodeSukses"":statusCodeSukses, ""locator"":locator, ""valueLocator"":valueLocator], STOP_ON_FAILURE)",,,,29-04-2026 23:28:58,29-04-2026 23:28:58,0.680s,PASSED
"callTestCase(findTestCase(""Blocks/Positive/Delete Books""), [""response"":""response"", ""statusCodeSukses"":200, ""locator"":""title"", ""valueLocator"":""Book 1""], STOP_ON_FAILURE)",,,,29-04-2026 23:28:58,29-04-2026 23:28:59,0.643s,PASSED
